example_id,example_number,type,level,gold_verdict,pipeline_verdict,verdict_correct,model_name,model_vote,correct_count,incorrect_count,uncertain_count
5a70f0a75542994082a3e403,1940,bridge,hard,False,True,False,openai/gpt-4.1-nano,correct,1,0,0
5a70f0a75542994082a3e403,1940,bridge,hard,False,True,False,google/gemini-flash-1.5-8b,correct,1,0,0
5a70f0a75542994082a3e403,1940,bridge,hard,False,True,False,x-ai/grok-4-fast:free,correct,1,0,0
5a70f1685542994082a3e40f,590,bridge,hard,False,True,False,openai/gpt-4.1-nano,correct,1,0,0
5a70f1685542994082a3e40f,590,bridge,hard,False,True,False,google/gemini-flash-1.5-8b,correct,1,0,0
5a70f1685542994082a3e40f,590,bridge,hard,False,True,False,x-ai/grok-4-fast:free,correct,1,0,0
5a70f39c5542994082a3e429,265,bridge,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a70f39c5542994082a3e429,265,bridge,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a70f39c5542994082a3e429,265,bridge,hard,True,True,True,x-ai/grok-4-fast:free,correct,1,0,0
5a70f4c45542994082a3e437,979,bridge,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a70f4c45542994082a3e437,979,bridge,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a70f4c45542994082a3e437,979,bridge,hard,True,True,True,x-ai/grok-4-fast:free,correct,1,0,0
5a7108fa5542994082a3e4ef,1257,comparison,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a7108fa5542994082a3e4ef,1257,comparison,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a7108fa5542994082a3e4ef,1257,comparison,hard,True,True,True,x-ai/grok-4-fast:free,correct,1,0,0
5a71095e5542994082a3e4f3,73,bridge,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a71095e5542994082a3e4f3,73,bridge,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a71095e5542994082a3e4f3,73,bridge,hard,True,True,True,x-ai/grok-4-fast:free,correct,1,0,0
5a710a915542994082a3e504,1759,comparison,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a710a915542994082a3e504,1759,comparison,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a710a915542994082a3e504,1759,comparison,hard,True,True,True,x-ai/grok-4-fast:free,correct,1,0,0
5a71166d5542994082a3e576,468,comparison,hard,False,False,True,openai/gpt-4.1-nano,correct,1,0,0
5a71166d5542994082a3e576,468,comparison,hard,False,False,True,google/gemini-flash-1.5-8b,incorrect,0,1,0
5a71166d5542994082a3e576,468,comparison,hard,False,False,True,x-ai/grok-4-fast:free,incorrect,0,1,0
5a7119095542994082a3e589,1704,bridge,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a7119095542994082a3e589,1704,bridge,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a7119095542994082a3e589,1704,bridge,hard,True,True,True,x-ai/grok-4-fast:free,correct,1,0,0
5a7119f75542994082a3e58e,183,bridge,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a7119f75542994082a3e58e,183,bridge,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a7119f75542994082a3e58e,183,bridge,hard,True,True,True,x-ai/grok-4-fast:free,correct,1,0,0
5a711c535542994082a3e59b,719,bridge,hard,False,True,False,openai/gpt-4.1-nano,correct,1,0,0
5a711c535542994082a3e59b,719,bridge,hard,False,True,False,google/gemini-flash-1.5-8b,correct,1,0,0
5a711c535542994082a3e59b,719,bridge,hard,False,True,False,x-ai/grok-4-fast:free,correct,1,0,0
5a711cb45542994082a3e59f,697,comparison,hard,False,True,False,openai/gpt-4.1-nano,correct,1,0,0
5a711cb45542994082a3e59f,697,comparison,hard,False,True,False,google/gemini-flash-1.5-8b,correct,1,0,0
5a71214d5542994082a3e5b9,371,bridge,hard,False,False,True,openai/gpt-4.1-nano,incorrect,0,1,0
5a71214d5542994082a3e5b9,371,bridge,hard,False,False,True,google/gemini-flash-1.5-8b,incorrect,0,1,0
5a71214d5542994082a3e5b9,371,bridge,hard,False,False,True,x-ai/grok-4-fast:free,incorrect,0,1,0
5a7125b95542994082a3e5d5,843,bridge,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a7125b95542994082a3e5d5,843,bridge,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a71299e5542994082a3e5fe,1150,bridge,hard,False,True,False,openai/gpt-4.1-nano,correct,1,0,0
5a71299e5542994082a3e5fe,1150,bridge,hard,False,True,False,google/gemini-flash-1.5-8b,correct,1,0,0
5a71299e5542994082a3e5fe,1150,bridge,hard,False,True,False,x-ai/grok-4-fast:free,correct,1,0,0
5a712af15542994082a3e614,473,bridge,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a712af15542994082a3e614,473,bridge,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
5a712af15542994082a3e614,473,bridge,hard,True,True,True,x-ai/grok-4-fast:free,correct,1,0,0
5a712c4b5542994082a3e622,1363,bridge,hard,True,True,True,openai/gpt-4.1-nano,correct,1,0,0
5a712c4b5542994082a3e622,1363,bridge,hard,True,True,True,google/gemini-flash-1.5-8b,correct,1,0,0
