eval_id,jury_verdict,jury_confidence,votes_c,votes_i,votes_u,human_verdict,human_score,sys_label,hum_label,sys_conf
eval_20250915_075643_c577d6b2,incorrect,0.8426155838220732,0,5,0,,,0,,0.8426155838220732
eval_20250915_050627_55dd1d62,incorrect,0.9261118266535344,0,5,0,,,0,,0.9261118266535344
eval_20250915_053601_c6bc33d8,correct,0.7499999999999999,4,1,0,,,1,,0.7499999999999999
eval_20250915_073521_da951c20,incorrect,0.6821085402413714,0,5,0,,,0,,0.6821085402413714
eval_20250915_040221_19cc2e19,correct,0.7985062713797034,5,0,0,,,1,,0.7985062713797034
eval_20250915_083300_6b604c03,correct,0.8180581039755351,5,0,0,,,1,,0.8180581039755351
eval_20250915_040932_01f05664,incorrect,0.7729955947136563,0,5,0,,,0,,0.7729955947136563
eval_20250915_064815_54718d61,incorrect,0.7425801011804384,0,5,0,,,0,,0.7425801011804384
eval_20250915_062042_8e9ed93a,incorrect,0.8457048458149778,0,5,0,,,0,,0.8457048458149778
eval_20250915_031316_4d748ab8,incorrect,0.8350815582421799,0,5,0,,,0,,0.8350815582421799
eval_20250915_080714_548bb3f9,incorrect,0.8351669528715893,0,5,0,,,0,,0.8351669528715893
eval_20250915_043624_b06733dc,incorrect,0.9032314080785201,0,5,0,,,0,,0.9032314080785201
eval_20250915_041913_8f878dd5,incorrect,0.8351212917475914,0,5,0,,,0,,0.8351212917475914
eval_20250915_020228_c6538325,incorrect,0.84249790124399,0,5,0,,,0,,0.84249790124399
eval_20250915_022459_56ec1b28,incorrect,0.7589641434262948,0,5,0,,,0,,0.7589641434262948
eval_20250915_072437_faf8c54a,incorrect,0.9031207133058985,0,5,0,,,0,,0.9031207133058985
eval_20250915_053120_9a77bc58,incorrect,0.8474325567136726,0,5,0,,,0,,0.8474325567136726
eval_20250915_074956_260cd5f7,incorrect,0.8425510826471484,0,5,0,,,0,,0.8425510826471484
eval_20250915_060043_b0651800,incorrect,0.75,2,3,0,,,0,,0.75
eval_20250915_084825_e59d76c3,correct,0.8232506241016717,5,0,0,,,1,,0.8232506241016717
eval_20250915_054615_3f1f83cb,incorrect,0.8787264007308162,0,5,0,,,0,,0.8787264007308162
eval_20250915_021521_2d9b8ad0,incorrect,0.8351536552777247,0,5,0,,,0,,0.8351536552777247
eval_20250915_054826_961dc36c,incorrect,0.8277167696179365,0,5,0,,,0,,0.8277167696179365
eval_20250915_055236_c48f1298,incorrect,0.6425557933353714,0,5,0,,,0,,0.6425557933353714
eval_20250915_062145_1efa8e7d,incorrect,0.8278836624228101,0,5,0,,,0,,0.8278836624228101
eval_20250915_071633_843fde8d,incorrect,0.8640439996944466,0,5,0,,,0,,0.8640439996944466
eval_20250915_050657_b4ffa76d,correct,0.8151219512195121,5,0,0,,,1,,0.8151219512195121
eval_20250915_042514_fb6ff8d4,correct,0.7837178111587983,5,0,0,,,1,,0.7837178111587983
eval_20250915_052853_f0e73ac1,correct,0.7897947068060822,5,0,0,,,1,,0.7897947068060822
eval_20250915_070818_26737d66,incorrect,0.8277676537585421,0,5,0,,,0,,0.8277676537585421
eval_20250915_015852_94b3babc,incorrect,0.7254185022026433,0,5,0,,,0,,0.7254185022026433
eval_20250915_063204_805b2747,incorrect,0.8097925564368517,0,5,0,,,0,,0.8097925564368517
eval_20250915_054323_75ae0475,incorrect,0.8598990283863593,0,5,0,,,0,,0.8598990283863593
eval_20250915_042010_f663adc2,incorrect,0.6753515207091548,0,5,0,,,0,,0.6753515207091548
eval_20250915_031012_b0b420d6,correct,0.835021908935035,5,0,0,,,1,,0.835021908935035
eval_20250915_050059_e246236f,incorrect,0.8130903255387436,0,5,0,,,0,,0.8130903255387436
eval_20250915_040507_661cf725,incorrect,0.8425132052361631,0,5,0,,,0,,0.8425132052361631
eval_20250915_032421_82056f5a,incorrect,0.645063908187157,0,5,0,,,0,,0.645063908187157
eval_20250915_032154_7ac5c405,incorrect,0.7934188489646772,0,5,0,,,0,,0.7934188489646772
eval_20250915_071020_a8eb8bf3,incorrect,0.7820746824853602,0,5,0,,,0,,0.7820746824853602
eval_20250915_060447_f7719f27,incorrect,0.8424781119147317,0,5,0,,,0,,0.8424781119147317
eval_20250915_081624_fe4ec963,correct,0.85,5,0,0,,,1,,0.85
eval_20250915_054450_d427baec,incorrect,0.672545871559633,0,5,0,,,0,,0.672545871559633
eval_20250915_033747_133ec654,incorrect,0.6303183513399208,0,5,0,,,0,,0.6303183513399208
eval_20250915_083221_c1579089,incorrect,0.8425725603717525,0,5,0,,,0,,0.8425725603717525
eval_20250915_063715_5375fa17,incorrect,0.8278194051532992,0,5,0,,,0,,0.8278194051532992
eval_20250915_071805_1e0abfe2,incorrect,0.7010597376620379,0,5,0,,,0,,0.7010597376620379
eval_20250915_035353_fe966d27,incorrect,0.7747509637036755,0,5,0,,,0,,0.7747509637036755
eval_20250915_032246_0df66308,incorrect,0.8795328163419707,0,5,0,,,0,,0.8795328163419707
eval_20250915_075213_afaa42c9,incorrect,0.8279101741521538,0,5,0,,,0,,0.8279101741521538
eval_20250915_064035_73875170,incorrect,0.8090321473515615,0,5,0,,,0,,0.8090321473515615
eval_20250915_045149_6ce31af0,incorrect,0.8246062691131499,0,5,0,,,0,,0.8246062691131499
eval_20250915_073156_746c64d1,correct,0.7998967100229533,5,0,0,,,1,,0.7998967100229533
eval_20250915_053656_0af9d2b7,correct,0.7649952462445333,5,0,0,,,1,,0.7649952462445333
eval_20250915_030009_262f3c87,incorrect,0.75,0,5,0,,,0,,0.75
